030,2,0,65,0.7240042686462402,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,54,0.6662900447845459,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,72,1.1063361167907715,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,43,5.607579231262207,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
060,4,0,68,1.310269832611084,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,0,68,3.2828924655914307,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,71,1.8044607639312744,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,3,0,73,2.017554998397827,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,73,1.463428258895874,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,71,2.4497501850128174,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,1,0,60,8.318817615509033,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
030,4,0,58,3.028181552886963,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,59,2.944514513015747,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,68,1.3150017261505127,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,67,11.764044761657715,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
060,2,0,68,8.727525472640991,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,62,0.6775016784667969,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,0,49,0.45561838150024414,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
