060,1,8000,77,1.7460932731628418,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,8000,73,1.7493517398834229,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,8000,72,1.6246352195739746,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,8000,75,1.705676794052124,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,8000,78,2.780590295791626,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,8000,74,2.7875897884368896,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
100,2,8000,78,2.7094919681549072,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,8000,73,2.7629342079162598,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,4,8000,75,2.7478859424591064,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,8000,61,0.531104326248169,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,8000,66,0.5289177894592285,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,8000,67,0.5391972064971924,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,8000,68,0.5136101245880127,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,8000,59,0.526982307434082,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,8000,66,0.6454567909240723,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,8000,70,0.6067273616790771,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,8000,72,0.5756316184997559,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,8000,67,0.5938701629638672,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,8000,69,0.5942184925079346,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,8000,74,0.6648159027099609,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,8000,70,0.6489191055297852,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,8000,72,0.6874954700469971,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,8000,71,0.7128453254699707,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,8000,68,0.6543185710906982,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,8000,70,0.7297093868255615,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,8000,70,0.6911153793334961,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,8000,75,0.8070850372314453,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,8000,70,0.8069515228271484,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,8000,72,0.7975337505340576,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,8000,73,0.8811092376708984,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,8000,72,0.9780004024505615,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,8000,73,0.9076917171478271,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,8000,72,0.9860451221466064,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,8000,72,0.9562227725982666,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,8000,75,1.6195237636566162,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,8000,77,1.7470800876617432,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,8000,75,1.629270315170288,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,8000,72,1.6176741123199463,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,8000,75,1.6038856506347656,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
